id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2021-03-03T20:05:34;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2021-03-03T15:05:54;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-03-03T17:14:56;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2021-03-03T09:59:21;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-03-04T01:22:27;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2021-03-03T12:44:33;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2021-03-03T15:41:05;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2021-03-03T05:43:44;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2021-03-03T08:33:20;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2021-03-03T09:15:45;601;74069
